Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_004_VC_Smart_Profile_ITL,Chrome 115.0.0.0,,,2023-08-09 21:48:26,2023-08-09 21:48:43,17.100s,PASSED
,,,,,,,
Test Cases/TC_020_VC_Smart_Login profile-ITL,Chrome 115.0.0.0,,,2023-08-09 21:48:26,2023-08-09 21:48:43,16.621s,PASSED
openBrowser(URL),Chrome 115.0.0.0,,,2023-08-09 21:48:27,2023-08-09 21:48:35,7.247s,PASSED
waitForPageLoad(15),Chrome 115.0.0.0,,,2023-08-09 21:48:35,2023-08-09 21:48:35,0.279s,PASSED
"verifyElementPresent(findTestObject(""OB_001_Login screen/Login Screen/Username""), 0)",Chrome 115.0.0.0,,,2023-08-09 21:48:35,2023-08-09 21:48:35,0.501s,PASSED
"verifyElementPresent(findTestObject(""OB_001_Login screen/Login Screen/Password""), 0)",Chrome 115.0.0.0,,,2023-08-09 21:48:35,2023-08-09 21:48:36,0.437s,PASSED
"verifyElementPresent(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""), 0)",Chrome 115.0.0.0,,,2023-08-09 21:48:36,2023-08-09 21:48:36,0.453s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Username""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-09 21:48:36,2023-08-09 21:48:37,0.560s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Username""), USERNAME)",Chrome 115.0.0.0,,,2023-08-09 21:48:37,2023-08-09 21:48:38,1.198s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Password""))",Chrome 115.0.0.0,,,2023-08-09 21:48:38,2023-08-09 21:48:38,0.483s,PASSED
"setEncryptedText(findTestObject(""OB_001_Login screen/Login Screen/Password""), PASSWORD)",Chrome 115.0.0.0,,,2023-08-09 21:48:38,2023-08-09 21:48:39,0.575s,PASSED
"waitForElementClickable(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""), 3)",Chrome 115.0.0.0,,,2023-08-09 21:48:39,2023-08-09 21:48:40,0.478s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-09 21:48:40,2023-08-09 21:48:40,0.469s,PASSED
waitForPageLoad(14),Chrome 115.0.0.0,,,2023-08-09 21:48:40,2023-08-09 21:48:40,0.022s,PASSED
"verifyTextPresent(""VC Smart"", false)",Chrome 115.0.0.0,,,2023-08-09 21:48:40,2023-08-09 21:48:43,2.748s,PASSED
