Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_005_FMS_Smart_ITL_Profile,Chrome 115.0.0.0,,,2023-08-10 15:37:00,2023-08-10 15:37:22,22.233s,PASSED
,,,,,,,
Test Cases/TC_021_FMS_Smart_ITL_Profile,Chrome 115.0.0.0,,,2023-08-10 15:37:01,2023-08-10 15:37:22,21.781s,PASSED
openBrowser(URL),Chrome 115.0.0.0,,,2023-08-10 15:37:02,2023-08-10 15:37:10,8.461s,PASSED
waitForPageLoad(0),Chrome 115.0.0.0,,,2023-08-10 15:37:10,2023-08-10 15:37:10,0.263s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 15:37:10,2023-08-10 15:37:11,0.166s,PASSED
"verifyElementPresent(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), 0)",Chrome 115.0.0.0,,,2023-08-10 15:37:11,2023-08-10 15:37:11,0.554s,PASSED
"verifyElementClickable(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 15:37:11,2023-08-10 15:37:12,0.479s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 15:37:12,2023-08-10 15:37:12,0.574s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), USERNAME)",Chrome 115.0.0.0,,,2023-08-10 15:37:12,2023-08-10 15:37:13,0.890s,PASSED
"verifyElementPresent(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), 0)",Chrome 115.0.0.0,,,2023-08-10 15:37:13,2023-08-10 15:37:14,0.404s,PASSED
"verifyElementClickable(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 15:37:14,2023-08-10 15:37:14,0.410s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 15:37:14,2023-08-10 15:37:14,0.501s,PASSED
"setEncryptedText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), PASSWORD)",Chrome 115.0.0.0,,,2023-08-10 15:37:14,2023-08-10 15:37:15,0.594s,PASSED
"verifyElementPresent(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""), 0)",Chrome 115.0.0.0,,,2023-08-10 15:37:15,2023-08-10 15:37:15,0.391s,PASSED
"verifyElementClickable(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 15:37:15,2023-08-10 15:37:16,0.409s,PASSED
"verifyElementText(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""), ""Sign in"")",Chrome 115.0.0.0,,,2023-08-10 15:37:16,2023-08-10 15:37:16,0.449s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 15:37:16,2023-08-10 15:37:17,0.482s,PASSED
waitForPageLoad(14),Chrome 115.0.0.0,,,2023-08-10 15:37:17,2023-08-10 15:37:17,0.038s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-10 15:37:17,2023-08-10 15:37:21,4.552s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-10 15:37:21,2023-08-10 15:37:22,1.055s,PASSED
