Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_02_FMS_Smart_Multiplen user login,Chrome 115.0.0.0,,,2023-08-10 22:07:20,2023-08-10 22:11:45,4m - 24.812s,FAILED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:07:21,2023-08-10 22:07:58,37.937s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:07:21,2023-08-10 22:07:32,10.759s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:07:32,2023-08-10 22:07:32,0.175s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:07:32,2023-08-10 22:07:36,4.050s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:07:36,2023-08-10 22:07:37,0.609s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-10 22:07:37,2023-08-10 22:07:38,0.869s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 22:07:38,2023-08-10 22:07:38,0.480s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-10 22:07:38,2023-08-10 22:07:39,0.861s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 22:07:39,2023-08-10 22:07:40,0.468s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-10 22:07:40,2023-08-10 22:07:47,7.009s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-10 22:07:47,2023-08-10 22:07:56,9.923s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-10 22:07:56,2023-08-10 22:07:58,1.237s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-10 22:07:58,2023-08-10 22:07:58,0.773s,PASSED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:07:59,2023-08-10 22:10:50,2m - 51.869s,FAILED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:07:59,2023-08-10 22:10:11,2m - 12.681s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:10:11,2023-08-10 22:10:11,0.151s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:10:11,2023-08-10 22:10:15,4.020s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:10:15,2023-08-10 22:10:50,34.984s,FAILED
,,,,,,,
Test Cases/TC_013_FMS_Smart_multiple login test,Chrome 115.0.0.0,,data driven test,2023-08-10 22:10:50,2023-08-10 22:11:45,54.132s,FAILED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-10 22:10:50,2023-08-10 22:11:02,11.787s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 22:11:02,2023-08-10 22:11:02,0.132s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-10 22:11:02,2023-08-10 22:11:06,4.016s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-10 22:11:06,2023-08-10 22:11:07,0.506s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-10 22:11:07,2023-08-10 22:11:08,0.863s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-10 22:11:08,2023-08-10 22:11:08,0.475s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-10 22:11:08,2023-08-10 22:11:09,0.851s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-10 22:11:09,2023-08-10 22:11:10,0.492s,PASSED
delay(7),Chrome 115.0.0.0,,,2023-08-10 22:11:10,2023-08-10 22:11:17,7.013s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-10 22:11:17,2023-08-10 22:11:45,27.945s,FAILED
