Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_008_PROFILE_VC_SMART_FEATURE_IOCL,Chrome 115.0.0.0,,,2023-08-16 12:51:27,2023-08-16 12:52:28,1m - 0.611s,PASSED
,,,,,,,
Test Cases/TC_018_VC_Smart_Verify Profile login-IOCL,Chrome 115.0.0.0,,,2023-08-16 12:51:27,2023-08-16 12:52:28,1m - 0.291s,PASSED
openBrowser(URL),Chrome 115.0.0.0,,,2023-08-16 12:51:28,2023-08-16 12:51:38,10.218s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-16 12:51:38,2023-08-16 12:51:42,4.031s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 12:51:42,2023-08-16 12:51:42,0.139s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Username""))",Chrome 115.0.0.0,,,2023-08-16 12:51:42,2023-08-16 12:51:43,0.472s,PASSED
"setText(findTestObject(""OB_001_Login screen/Login Screen/Username""), USERNAME)",Chrome 115.0.0.0,,,2023-08-16 12:51:43,2023-08-16 12:51:44,0.792s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/Password""))",Chrome 115.0.0.0,,,2023-08-16 12:51:44,2023-08-16 12:51:44,0.380s,PASSED
"setEncryptedText(findTestObject(""OB_001_Login screen/Login Screen/Password""), PASSWORD)",Chrome 115.0.0.0,,,2023-08-16 12:51:44,2023-08-16 12:51:44,0.523s,PASSED
"click(findTestObject(""OB_001_Login screen/Login Screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-16 12:51:44,2023-08-16 12:51:45,0.370s,PASSED
delay(15),Chrome 115.0.0.0,,,2023-08-16 12:51:45,2023-08-16 12:52:00,15.002s,PASSED
"verifyElementPresent(findTestObject(""OB_002_Feature1/Feature/a_Track By Criteria""), 0)",Chrome 115.0.0.0,,,2023-08-16 12:52:00,2023-08-16 12:52:19,19.055s,PASSED
delay(8),Chrome 115.0.0.0,,,2023-08-16 12:52:19,2023-08-16 12:52:27,8.011s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-16 12:52:27,2023-08-16 12:52:28,0.656s,PASSED
