Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_005_FMS_SMART_Login feature,Chrome 115.0.0.0,,,2023-08-16 15:15:15,2023-08-16 15:15:40,25.232s,PASSED
,,,,,,,
Test Cases/TC_007_FMS_Smart_Verify Login feature,Chrome 115.0.0.0,,,2023-08-16 15:15:15,2023-08-16 15:15:40,24.894s,PASSED
openBrowser(url),Chrome 115.0.0.0,,,2023-08-16 15:15:15,2023-08-16 15:15:22,6.888s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-16 15:15:22,2023-08-16 15:15:22,0.134s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-16 15:15:22,2023-08-16 15:15:25,3.022s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/username""))",Chrome 115.0.0.0,,,2023-08-16 15:15:25,2023-08-16 15:15:26,0.404s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/username""), username)",Chrome 115.0.0.0,,,2023-08-16 15:15:26,2023-08-16 15:15:26,0.654s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""))",Chrome 115.0.0.0,,,2023-08-16 15:15:26,2023-08-16 15:15:27,0.348s,PASSED
"setText(findTestObject(""OB_005_Login screen_fms smart/login screen/Password""), password)",Chrome 115.0.0.0,,,2023-08-16 15:15:27,2023-08-16 15:15:27,0.641s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_Sign in""))",Chrome 115.0.0.0,,,2023-08-16 15:15:27,2023-08-16 15:15:28,0.349s,PASSED
delay(6),Chrome 115.0.0.0,,,2023-08-16 15:15:28,2023-08-16 15:15:34,6.010s,PASSED
"click(findTestObject(""OB_005_Login screen_fms smart/login screen/button_ACCEPT AND CLOSE""))",Chrome 115.0.0.0,,,2023-08-16 15:15:34,2023-08-16 15:15:39,5.290s,PASSED
"verifyTextPresent(""FMS Smart"", false)",Chrome 115.0.0.0,,,2023-08-16 15:15:39,2023-08-16 15:15:40,0.675s,PASSED
