Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_004_VC_Smart_DETAILED_REGRESSION,Chrome 115.0.0.0,,,2023-08-16 17:14:25,2023-08-16 17:28:11,13m - 45.988s,PASSED
,,,,,,,
Test Cases/TC_015_VC_Smart_Verify scroll down on home screen,Chrome 115.0.0.0,,,2023-08-16 17:14:25,2023-08-16 17:16:04,1m - 39.028s,PASSED
"callTestCase(findTestCase(""TC_001_Verify the Login feature with valid credentials""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:14:26,2023-08-16 17:15:28,1m - 2.087s,PASSED
"scrollToElement(findTestObject(""OB_011_VC_Smart_Scroll down/Page_VCSmart  Trimble/div_On Trip Safety Violation (830 Vehicles)""), 5)",Chrome 115.0.0.0,,,2023-08-16 17:15:28,2023-08-16 17:16:00,31.738s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-16 17:16:00,2023-08-16 17:16:04,4.013s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-16 17:16:04,2023-08-16 17:16:04,0.733s,PASSED
,,,,,,,
Test Cases/TC_016_VC_Smart_Verify_Admin feature,Chrome 115.0.0.0,,,2023-08-16 17:16:04,2023-08-16 17:18:22,2m - 17.490s,PASSED
"callTestCase(findTestCase(""TC_001_Verify the Login feature with valid credentials""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-16 17:16:05,2023-08-16 17:17:04,59.754s,PASSED
"click(findTestObject(""OB_012_VC_Smart_ADMIN Feature/Page_VCSmart  Trimble/a_Admin""))",Chrome 115.0.0.0,,,2023-08-16 17:17:04,2023-08-16 17:17:09,4.689s,PASSED
"click(findTestObject(""OB_012_VC_Smart_ADMIN Feature/Page_VCSmart  Trimble/div_Landmark Manager""))",Chrome 115.0.0.0,,,2023-08-16 17:17:09,2023-08-16 17:17:10,0.790s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-16 17:17:10,2023-08-16 17:17:14,4.013s,PASSED
"verifyTextPresent(""Records"", false)",Chrome 115.0.0.0,,,2023-08-16 17:17:14,2023-08-16 17:17:15,0.796s,PASSED
"click(findTestObject(""OB_012_VC_Smart_ADMIN Feature/Page_VCSmart  Trimble/a_Admin""))",Chrome 115.0.0.0,,,2023-08-16 17:17:15,2023-08-16 17:17:15,0.504s,PASSED
